day,english,korean
5,accomplish,성취하다 완수하다
5,achievement,성취 업적
5,acquire,획득하다 습득하다
5,acquisition,획득 인수
5,advance,진전 발전 / 전진하다
5,advantage,이점 유리함
5,beneficial,유익한 이로운
5,benefit,혜택 이익
5,capable,유능한 능력 있는
5,capacity,능력 수용력
5,competent,유능한 적격의
5,competitive,경쟁력 있는
5,competitor,경쟁자
5,proficient,능숙한 숙련된
5,proficiency,숙달 능숙
5,accomplish,달성하다 성취하다
5,accomplish,이루다 완수하다
5,establish,설립하다 확립하다
5,foundation,기초 토대
5,implement,시행하다 실행하다
5,maintain,유지하다 보수하다
5,obtain,얻다 획득하다
5,perform,수행하다 공연하다
5,proceed,진행하다 계속하다
5,promote,증진하다 승진시키다
5,provide,제공하다 공급하다
5,require,필요로 하다 요구하다
5,retain,보유하다 유지하다
5,secure,확보하다 안전한
5,sustain,유지하다 지탱하다
